Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
AncientMimic;Neutral;223,882;1;None;0;72;7;7;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Oni;Fire;223,722;1;None;0;72;7;7;7;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Leviathan;Water;151,660;1;None;0;179;3;3;3;2,053;0;0;-50;0;0;none;none;none;      ;;;;No;
BigBurger;Water;101,499;1;None;0;51;5;5;5;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Gnome;Earth;72,764;64;Adventurer;22;4,180;211;485;204;-302;10;-40;668;0;0;Godly Hammer + 20, SSS;Titanium Armor + 10, SSS, Water gem lv 10;none;Item;Yes;;GnomeFinal;Yes;
Crocodile;Earth;71,080;1;None;0;46;5;5;5;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Salamander;Fire;66,976;101;Supporter;25;5,406;427;388;593;-79;441;29;29;0;0;Inferno Sword + 10, SSS, Wind gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;Scrapyard;Yes;;SalamanderFinal;Yes;
Meteor;Fire;58,098;20;Adventurer;19;632;63;63;63;-50;110;0;0;0;0;none;none;none;Growth;Yes;;4,572;Yes;
Pandora;Neutral;57,830;20;None;0;796;112;80;80;41;41;41;41;0;0;Magic Egg + 20, SSS;none;none;Growth;Yes;;;Yes;
Vampire;Fire;57,790;25;None;0;786;83;79;114;-50;125;0;50;0;0;Magic Stick + 10, S (20);none;none;God Power;Yes;;;Yes;
Hedgehog;Fire;57,710;20;Adventurer;22;631;63;63;63;-50;110;0;0;0;0;none;none;none;Growth;Yes;Yes;;Yes;
Raiju;Wind;57,691;20;None;0;910;71;109;211;286;-115;357;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
Bag;Neutral;57,679;1;Adventurer;17;44;4;4;4;1;1;1;1;0;0;none;none;none;Growth;Yes;Yes;;Yes;
Cupid;Wind;57,341;57;Adventurer;20;1,773;191;177;302;0;-50;221;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;Yes;;Yes;
Otter;Water;57,322;25;Adventurer;20;785;83;78;120;125;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;;;Yes;
Sphinx;Earth;56,709;20;Adventurer;21;629;67;63;96;0;0;-50;169;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;Yes;;Yes;
EarthEater;Earth;56,476;25;None;0;782;84;78;133;0;0;-50;203;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;;Yes;
Sylph;Wind;55,480;117;Mage;24;1,872;1,439;116;643;-126;107;622;30;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Hurricane Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;Forest;Yes;;SylphFinal;Yes;
BunnyGirl;Neutral;54,604;20;Alchemist;14;564;69;83;72;41;41;41;41;0;0;Magic Pot + 15, S;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
HoneyBadger;Earth;53,708;25;None;0;774;81;77;112;0;0;-50;175;0;0;Magic Stick + 10, S (20);none;none;Food;Yes;;;Yes;
AnniCake;Earth;53,233;25;None;0;772;77;77;77;0;0;-50;125;0;0;none;none;none;Food;Yes;;;Yes;
AntQueen;Fire;49,079;1;None;0;42;4;4;6;-50;53;0;54;0;0;Magic Stick + 10, SS (20);none;none;God Power;Yes;;;Yes;
Aether;Neutral;48,740;20;Adventurer;15;879;69;105;204;301;-50;262;2;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;28 fights;Yes;
Elemental;Neutral;48,325;1;None;0;42;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Shark;Water;47,785;20;Adventurer;22;607;64;61;93;110;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;;Yes;
DecoratorCrab;Water;46,809;25;None;0;753;79;75;109;125;0;0;0;0;0;Magic Stick + 10, S (20);none;none;Item;Yes;;;Yes;
Unicorn;Neutral;46,701;1;None;0;102;4;4;6;-103;-103;-103;627;0;0;Magic Stick + 10, SS (20);none;Growing Love Pendant + 20, SSS;Multiplier;Yes;;;Yes;
Basilisk;Earth;46,660;1;None;0;42;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
MistSphere;Water;45,512;116;Supporter;26;4,905;523;410;623;359;78;-59;87;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Forest Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;Forest;Yes;;;Yes;
Succubus;Fire;42,097;80;Assassin;19;3,242;691;195;295;-49;457;20;20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;Scrapyard;Yes;;;Yes;
PixieGoat;Wind;41,703;25;None;0;737;78;74;110;0;-50;125;54;0;0;Magic Stick + 10, SS (20);none;none;Item;Yes;;;Yes;
Nightmare;Fire;41,297;1;Adventurer;17;41;4;4;7;-50;53;0;78;0;0;Magic Stick + 20, SSS (20);none;none;God Power;Yes;;;Yes;
Student;Earth;40,660;1;None;0;37;4;4;4;0;0;-50;4;0;0;none;none;none;      ;;;;No;
FSM;Wind;40,623;20;Adventurer;15;590;62;59;90;0;-50;110;59;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;;Yes;
Hourglass;Wind;40,407;60;Adventurer;10;1,569;166;157;346;0;-50;230;59;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;234 days;Yes;
Bottle;Fire;38,667;1;Alchemist;17;38;6;5;7;-25;78;51;51;0;0;Magic Pot + 10, S;none;Spectrometers + 20, SSS;Crafting;Yes;;;Yes;
Cherub;Wind;38,392;25;None;0;727;76;73;105;0;-50;125;50;0;0;Magic Stick + 10, S (20);none;none;Divinity;Yes;;;Yes;
Witch;Water;36,671;26;None;0;750;79;75;115;128;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;Food;Yes;;;Yes;
Void;Neutral;35,493;1;Alchemist;18;32;4;5;4;14;14;14;14;0;0;Magic Pot + 10, SSS;none;none;Crafting;Yes;;;Yes;
Mermaid;Water;34,993;1;None;0;40;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Skeleton;Neutral;33,757;1;Adventurer;16;40;4;4;6;1;1;1;50;0;0;Magic Stick + 10, S (20);none;none;Food;Yes;;;Yes;
Owl;Neutral;31,660;1;None;0;340;34;34;34;1;1;1;1;0;0;none;none;none;      ;;;0;No;
Strategist;Neutral;31,659;1;None;0;51;3;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Yggdrasil;Earth;31,657;1;None;0;39;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
StaleTortilla;Neutral;31,566;1;Alchemist;17;35;4;5;5;27;27;27;27;0;0;Magic Pot + 15, SSS;none;Ear Muffs + 20, A;Crafting;Yes;;;Yes;
Rose;Earth;31,405;1;Alchemist;19;36;4;5;5;24;24;-27;77;0;0;Magic Pot + 10, A;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Gray;Neutral;30,860;1;None;0;0;0;0;0;1;1;1;1;0;0;none;none;none;      ;;;;No;
Cloud;Wind;30,009;1;Adventurer;16;39;4;4;6;0;-50;53;50;0;0;Magic Stick + 10, S (20);none;none;Item;Yes;;;Yes;
Balrog;Fire;29,660;1;None;0;43;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Pegasus;Wind;29,670;25;Blacksmith;21;950;125;91;29;13;15;138;13;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Santa;Fire;29,597;47;Supporter;17;1,249;155;131;170;9;172;-20;-20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;none;none;Alchemist Hut, producing Nothing;Yes;;;Yes;
Monk;Neutral;29,160;1;None;0;39;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Firefox;Fire;28,909;1;Blacksmith;20;71;9;7;2;379;170;65;-377;0;0;Shaping Hammer + 20, SSS (20);Learning Coat + 20, SSS;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Slime;Water;28,511;106;Mage;21;1,167;530;138;445;503;0;0;-110;0;0;Journeying Stick + 10, A (20);none;Tsunami Necklace + 10, SS;Multiplier;Yes;;;Yes;
GoldDragon;Neutral;28,420;20;Alchemist;19;506;62;70;65;40;40;40;40;0;0;Magic Pot + 10, S;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Anteater;Earth;28,234;20;Blacksmith;20;758;100;72;24;13;65;-37;123;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Chocobear;Earth;27,961;20;Adventurer;20;604;59;60;81;0;0;-131;200;0;0;Magic Stick + 10, S (20);none;Wood Bracelet + 5, SSS;Food;Yes;Yes;;Yes;
Lizard;Water;27,827;1;None;0;94;4;4;6;-51;-104;-104;576;0;0;Magic Stick + 10, SS (20);none;Growing Love Pendant + 20, SSS;Divinity;Yes;;;Yes;
Armadillo;Earth;27,291;101;Defender;25;7,746;158;903;35;69;69;19;422;0;0;Titanium Sword + 10, SSS, Water gem lv 10;Titanium Armor + 10, SSS, Earth gem lv 10;Titanium Ring + 10, SSS, Neutral gem lv 10;Forest;Yes;;;Yes;
