Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
AncientMimic;Neutral;223,132;1;None;0;72;7;7;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Oni;Fire;222,972;1;None;0;72;7;7;7;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Leviathan;Water;150,910;1;None;0;179;3;3;3;2,053;0;0;-50;0;0;none;none;none;      ;;;;No;
BigBurger;Water;100,749;1;None;0;51;5;5;5;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Crocodile;Earth;70,330;1;None;0;46;5;5;5;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Salamander;Fire;54,714;39;Supporter;10;1,435;165;139;147;-86;234;-15;-15;0;0;Ego Sword + 8, S, Fire gem lv 10;Steel Armor + 10, SS;Flame Gloves + 10, S;Scrapyard;Yes;;SalamanderFinal;Yes;
Elemental;Neutral;47,575;1;None;0;42;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Basilisk;Earth;45,910;1;None;0;42;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Vampire;Fire;45,514;25;None;0;1,080;85;129;250;236;60;247;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
HoneyBadger;Earth;41,433;25;None;0;736;75;74;89;0;0;-50;148;0;0;Journeying Stick + 5, B (20);none;none;Food;Yes;;;No;
AnniCake;Earth;40,958;25;None;0;735;76;73;92;0;0;-50;153;0;0;Journeying Stick + 5, S (20);none;none;Food;Yes;;;Yes;
Student;Earth;39,910;1;None;0;37;4;4;4;0;0;-50;4;0;0;none;none;none;      ;;;;No;
Sylph;Wind;39,093;48;None;0;1,606;292;138;158;-147;81;77;78;0;0;Flame Sword + 10, S, Fire gem lv 10;Tree Armor + 10, SSS;Flame Gloves + 10, SSS;Forest;Yes;;SylphFinal;Yes;
AntQueen;Fire;38,560;1;None;0;41;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Gnome;Earth;37,151;25;None;0;723;72;138;91;-312;0;-50;541;0;0;Godly Hammer + 20, SSS;none;none;Multiplier;Yes;;GnomeV3;Yes;
DecoratorCrab;Water;34,533;25;None;0;715;73;72;89;125;0;0;-23;0;0;Journeying Stick + 5, S (20);none;none;Item;Yes;;;Yes;
Mermaid;Water;34,243;1;None;0;40;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Pandora;Neutral;33,350;20;None;0;720;102;72;72;41;41;41;41;0;0;Magic Egg + 20, SSS;none;none;Growth;Yes;;;Yes;
MistSphere;Water;31,632;51;Supporter;14;1,452;167;154;250;145;-44;11;22;0;0;Flame Sword + 10, SSS, Fire gem lv 10;Tree Armor + 10, SS;Storm Ring + 10, S;Forest;Yes;;;Yes;
Owl;Neutral;30,910;1;None;0;340;34;34;34;1;1;1;1;0;0;none;none;none;      ;;;0;No;
Strategist;Neutral;30,909;1;None;0;51;3;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Yggdrasil;Earth;30,907;1;None;0;39;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Gray;Neutral;30,110;1;None;0;0;0;0;0;1;1;1;1;0;0;none;none;none;      ;;;;No;
PixieGoat;Wind;29,427;25;None;0;700;72;70;86;0;-50;125;25;0;0;Journeying Stick + 5, A (20);none;none;Item;Yes;;;Yes;
Balrog;Fire;28,910;1;None;0;43;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Sphinx;Earth;28,554;20;Adventurer;13;560;58;56;72;0;0;-50;143;0;0;Journeying Stick + 5, SSS (20);none;none;Growth;Yes;Yes;;Yes;
Monk;Neutral;28,410;1;None;0;39;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Raiju;Wind;28,072;20;None;0;806;63;97;187;286;-115;357;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
Hedgehog;Fire;28,040;20;Adventurer;15;559;58;56;71;-50;110;0;31;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;Yes;;Yes;
Otter;Water;28,012;25;Adventurer;8;695;72;70;89;125;0;0;-19;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;;;Yes;
Shark;Water;27,930;20;Adventurer;15;558;58;56;71;110;0;0;-19;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;;;Yes;
BunnyGirl;Neutral;27,898;20;None;0;558;58;56;72;15;15;15;46;0;0;Journeying Stick + 6, SS (20);none;none;Growth;Yes;;;Yes;
EarthEater;Earth;27,778;25;None;0;695;71;69;87;0;0;-50;154;0;0;Journeying Stick + 6, S (20);none;none;Growth;Yes;;;Yes;
Meteor;Fire;27,745;20;None;0;558;57;56;70;-50;110;0;29;0;0;Journeying Stick + 6, S (20);none;none;Growth;Yes;;2,963;Yes;
Cherub;Wind;26,117;25;None;0;690;71;69;83;0;-50;125;23;0;0;Journeying Stick + 5, B (20);none;none;Multiplier;Yes;;;Yes;
Hourglass;Wind;25,365;51;None;0;1,589;198;138;243;-50;-100;214;72;0;0;Flame Sword + 10, S, Fire gem lv 10;Tree Armor + 10, SS;Storm Ring + 10, S;Multiplier;Yes;;166 days;Yes;
Witch;Water;24,425;25;None;0;684;71;68;87;125;0;0;-20;0;0;Journeying Stick + 5, SS (20);none;none;Food;Yes;;;Yes;
Bat;Neutral;24,241;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
LuckyCoin;Earth;24,241;1;None;0;38;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Sniper;Wind;23,410;1;None;0;34;5;3;3;0;-50;53;0;0;0;none;none;none;      ;;;;No;
Arachne;Wind;23,132;1;None;0;38;4;4;4;0;-50;53;0;0;0;none;none;none;      ;;;;No;
Mimic;Neutral;23,132;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Simulacrum;Wind;22,979;1;None;0;38;4;4;4;0;-50;53;0;0;0;none;none;none;      ;;;;No;
FSM;Wind;22,264;20;None;0;545;56;54;64;0;-50;110;20;0;0;Journeying Stick + 2, B (20);none;none;Multiplier;Yes;;;Yes;
Fool;Neutral;21,931;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
BHC;Neutral;20,908;1;None;0;38;4;4;4;51;51;51;51;0;0;none;none;none;      ;;;;No;
Pegasus;Wind;17,446;25;Blacksmith;12;873;107;84;28;10;-1;135;10;0;0;Shaping Hammer + 10, SSS (20);none;Ear Muffs + 10, SSS;Crafting;Yes;;;Yes;
Santa;Fire;17,381;47;Supporter;11;990;133;101;193;-104;227;0;0;0;0;Flame Sword + 10, SS, Wind gem lv 10;none;none;Item;Yes;;;Yes;
