Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
AncientMimic;Neutral;223,882;1;None;0;72;7;7;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Oni;Fire;223,722;1;None;0;72;7;7;7;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Leviathan;Water;151,660;1;None;0;179;3;3;3;2,053;0;0;-50;0;0;none;none;none;      ;;;;No;
BigBurger;Water;101,499;1;None;0;51;5;5;5;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Gnome;Earth;72,515;62;Adventurer;21;2,041;204;390;257;-312;0;-50;652;0;0;Godly Hammer + 20, SSS;none;none;Item;Yes;;GnomeFinal;Yes;
Crocodile;Earth;71,080;1;None;0;46;5;5;5;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Salamander;Fire;66,727;101;Supporter;24;5,401;427;388;593;-79;441;29;29;0;0;Inferno Sword + 10, SSS, Wind gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;Scrapyard;Yes;;SalamanderFinal;Yes;
Vampire;Fire;57,541;25;None;0;1,133;89;136;262;236;60;247;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
Pandora;Neutral;57,478;20;None;0;795;112;79;79;41;41;41;41;0;0;Magic Egg + 20, SSS;none;none;Growth;Yes;;;Yes;
Bag;Neutral;57,409;1;Adventurer;16;44;5;4;7;1;1;1;59;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;Yes;;Yes;
Cupid;Wind;57,070;57;Adventurer;20;1,771;191;177;301;0;-50;221;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;Yes;;Yes;
Otter;Water;57,051;25;Adventurer;20;784;83;78;120;125;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;;;Yes;
Sphinx;Earth;56,438;20;Adventurer;21;628;66;63;96;0;0;-50;169;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;Yes;;Yes;
EarthEater;Earth;56,205;25;None;0;781;84;78;133;0;0;-50;203;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;;Yes;
Meteor;Fire;56,117;20;Adventurer;19;627;66;63;96;-50;110;0;59;0;0;Magic Stick + 10, SSS (20);none;none;Growth;Yes;;4,537;Yes;
Raiju;Wind;55,923;20;None;0;904;71;108;209;286;-115;357;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
Hedgehog;Fire;55,827;20;Adventurer;22;627;63;63;63;-50;110;0;0;0;0;none;none;none;Growth;Yes;Yes;;Yes;
Sylph;Wind;54,979;116;Mage;24;1,852;1,424;115;636;-126;107;619;30;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Hurricane Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;Forest;Yes;;SylphFinal;Yes;
BunnyGirl;Neutral;54,355;20;Alchemist;13;563;69;54;72;28;28;28;28;0;0;none;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
HoneyBadger;Earth;53,459;25;None;0;773;81;77;112;0;0;-50;175;0;0;Magic Stick + 10, S (20);none;none;Food;Yes;;;Yes;
AnniCake;Earth;52,984;25;None;0;771;82;77;118;0;0;-50;184;0;0;Magic Stick + 10, SSS (20);none;none;Food;Yes;;;Yes;
AntQueen;Fire;48,830;1;None;0;42;4;4;6;-50;53;0;54;0;0;Magic Stick + 10, SS (20);none;none;God Power;Yes;;;Yes;
Aether;Neutral;48,469;20;Adventurer;14;609;64;61;88;15;15;15;65;0;0;Magic Stick + 10, S (20);none;none;God Power;Yes;;28 fights;Yes;
Elemental;Neutral;48,325;1;None;0;42;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Shark;Water;47,536;20;Adventurer;22;606;64;61;93;110;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;;Yes;
Basilisk;Earth;46,660;1;None;0;42;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
DecoratorCrab;Water;46,560;25;None;0;752;79;75;109;125;0;0;0;0;0;Magic Stick + 10, S (20);none;none;Item;Yes;;;Yes;
MistSphere;Water;45,011;115;Supporter;26;4,852;517;405;616;356;78;-59;87;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Forest Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;Forest;Yes;;;Yes;
Unicorn;Neutral;43,572;1;None;0;101;4;4;6;-103;-103;-103;627;0;0;Magic Stick + 10, SS (20);none;Growing Love Pendant + 20, SSS;Multiplier;Yes;;;Yes;
Succubus;Fire;41,848;76;Assassin;17;3,077;656;185;280;-49;445;20;20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;Scrapyard;Yes;;;Yes;
PixieGoat;Wind;41,454;25;None;0;736;78;74;109;0;-50;125;54;0;0;Magic Stick + 10, SS (20);none;none;Item;Yes;;;Yes;
Nightmare;Fire;41,027;1;Adventurer;17;41;4;4;7;-50;53;0;78;0;0;Magic Stick + 20, SSS (20);none;none;God Power;Yes;;;Yes;
Student;Earth;40,660;1;None;0;37;4;4;4;0;0;-50;4;0;0;none;none;none;      ;;;;No;
FSM;Wind;40,374;20;Adventurer;14;589;62;59;90;0;-50;110;59;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;;Yes;
Hourglass;Wind;40,158;60;Adventurer;9;1,567;166;157;345;0;-50;230;59;0;0;Magic Stick + 10, SSS (20);none;none;God Power;Yes;;232 days;Yes;
Bottle;Fire;38,418;1;Alchemist;17;37;6;5;7;-25;78;51;51;0;0;Magic Pot + 10, S;none;Spectrometers + 20, SSS;Crafting;Yes;;;Yes;
Cherub;Wind;38,143;25;None;0;726;76;73;105;0;-50;125;50;0;0;Magic Stick + 10, S (20);none;none;Multiplier;Yes;;;Yes;
Witch;Water;36,422;26;None;0;749;79;75;114;128;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;Food;Yes;;;Yes;
Void;Neutral;35,244;1;Alchemist;18;32;4;5;4;14;14;14;14;0;0;Magic Pot + 10, SSS;none;none;Crafting;Yes;;;Yes;
Mermaid;Water;34,993;1;None;0;40;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Skeleton;Neutral;33,508;1;Adventurer;16;40;4;4;6;1;1;1;50;0;0;Magic Stick + 10, S (20);none;none;Food;Yes;;;Yes;
Owl;Neutral;31,660;1;None;0;340;34;34;34;1;1;1;1;0;0;none;none;none;      ;;;0;No;
Strategist;Neutral;31,659;1;None;0;51;3;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Yggdrasil;Earth;31,657;1;None;0;39;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
StaleTortilla;Neutral;31,317;1;Alchemist;17;35;4;3;4;11;11;11;11;0;0;none;none;Ear Muffs + 20, A;Crafting;Yes;;;Yes;
Rose;Earth;31,156;1;Alchemist;19;36;4;5;5;24;24;-27;77;0;0;Magic Pot + 10, A;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Gray;Neutral;30,860;1;None;0;0;0;0;0;1;1;1;1;0;0;none;none;none;      ;;;;No;
Cloud;Wind;29,760;1;Adventurer;16;39;4;4;6;0;-50;53;50;0;0;Magic Stick + 10, S (20);none;none;Item;Yes;;;Yes;
Balrog;Fire;29,660;1;None;0;43;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Pegasus;Wind;29,421;25;Blacksmith;21;949;125;91;29;13;15;138;13;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Santa;Fire;29,348;47;Supporter;17;1,247;154;130;170;9;172;-20;-20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;none;none;Alchemist Hut, producing Nothing;Yes;;;Yes;
Monk;Neutral;29,160;1;None;0;39;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Firefox;Fire;28,660;1;Blacksmith;20;71;9;7;2;379;170;65;-377;0;0;Shaping Hammer + 20, SSS (20);Learning Coat + 20, SSS;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Slime;Water;28,262;106;Mage;21;1,166;516;138;350;503;0;0;-140;0;0;none;none;Tsunami Necklace + 10, SS;Divinity;Yes;;;Yes;
GoldDragon;Neutral;28,150;20;Alchemist;18;487;60;69;64;36;36;36;36;0;0;Magic Pot + 10, S;none;Ear Muffs + 20, B;Crafting;Yes;;;Yes;
Anteater;Earth;27,985;20;Blacksmith;19;757;100;72;24;13;65;-37;123;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Chocobear;Earth;27,690;20;Adventurer;20;603;59;60;81;0;0;-131;200;0;0;Magic Stick + 10, S (20);none;Wood Bracelet + 5, SSS;Food;Yes;Yes;;Yes;
Armadillo;Earth;26,790;100;Defender;24;7,651;156;892;35;69;69;19;419;0;0;Titanium Sword + 10, SSS, Water gem lv 10;Titanium Armor + 10, SSS, Earth gem lv 10;Titanium Ring + 10, SSS, Neutral gem lv 10;Forest;Yes;;;Yes;
Squirrel;Fire;26,679;100;Rogue;24;3,053;700;180;1,183;-31;370;176;137;0;0;Exploding Knives + 20, SSS (20), Wind gem lv 10;Forest Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;Forest;Yes;Yes;;Yes;
