Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
HoneyBadger;Earth;14.806 E+6;120;None;0;216,848;23,376;21,685;36,908;0;0;-50;488;0;0;Magic Stick + 20, SSS (20);none;none;Food;Yes;;;No;
AnniCake;Earth;14.616 E+6;120;Adventurer;60;308,736;24,194;36,997;71,510;350;90;261;513;0;0;Candy Cane + 20, SSS (20);Merry Mantle + 20, SSS (20);Christmas Boots + 20, SSS (20);Item;Yes;;;No;
Vampire;Fire;14.006 E+6;120;None;0;205,288;22,130;20,529;34,940;-50;410;0;78;0;0;Magic Stick + 20, SSS (20);none;none;Food;Yes;;;No;
Raiju;Wind;8.606 E+6;120;Adventurer;60;127,258;13,718;12,726;21,659;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;;No;
Hourglass;Wind;6.525 E+6;120;None;0;87,461;9,428;8,746;21,502;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;Multiplier;Yes;;2 days;No;
BunnyGirl;Neutral;6.417 E+6;120;Alchemist;64;83,958;11,241;8,396;18,928;137;137;137;215;0;0;Magic Stick + 20, SSS (20);none;Alchemist Cape + 10, SSS (20);Multiplier;Yes;;;No;
FSM;Wind;5.207 E+6;120;Adventurer;60;78,134;8,423;7,813;13,298;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;God Power;Yes;;;No;
Oni;Fire;4.451 E+6;1;None;0;791;79;79;79;-50;53;0;0;0;0;none;none;none;      ;;;;No;
AncientMimic;Neutral;4.451 E+6;1;None;0;791;79;79;79;1;1;1;1;0;0;none;none;none;      ;;;;No;
Leviathan;Water;3.006 E+6;120;None;0;139,013;2,498;2,317;3,943;2,410;0;0;28;0;0;Magic Stick + 20, SSS (20);none;none;Multiplier;Yes;;;No;
Meteor;Fire;2.673 E+6;120;Adventurer;60;41,517;4,476;4,152;7,066;-50;410;0;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;26;No;
