Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
HoneyBadger;Earth;14.816 E+6;120;None;0;216,993;23,392;21,699;36,932;0;0;-50;488;0;0;Magic Stick + 20, SSS (20);none;none;Food;Yes;;;No;
AnniCake;Earth;14.626 E+6;120;Adventurer;60;308,944;24,210;37,022;71,558;350;90;261;513;0;0;Candy Cane + 20, SSS (20);Merry Mantle + 20, SSS (20);Christmas Boots + 20, SSS (20);Food;Yes;;;No;
Vampire;Fire;14.016 E+6;120;None;0;205,433;22,146;20,543;34,965;-50;410;0;78;0;0;Magic Stick + 20, SSS (20);none;none;Food;Yes;;;No;
Raiju;Wind;8.616 E+6;120;Adventurer;60;127,402;13,734;12,740;21,684;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;;No;
Hourglass;Wind;6.535 E+6;120;None;0;87,591;9,442;8,759;21,534;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;Item;Yes;;3 days;No;
BunnyGirl;Neutral;6.427 E+6;120;Alchemist;64;84,085;11,258;8,408;18,957;137;137;137;215;0;0;Magic Stick + 20, SSS (20);none;Alchemist Cape + 10, SSS (20);Crafting;Yes;;;No;
FSM;Wind;5.217 E+6;120;Adventurer;60;78,278;8,438;7,828;13,323;0;-50;410;78;0;0;Magic Stick + 20, SSS (20);none;none;God Power;Yes;;;No;
Oni;Fire;4.461 E+6;1;None;0;792;79;79;79;-50;53;0;0;0;0;none;none;none;      ;;;;No;
AncientMimic;Neutral;4.461 E+6;1;None;0;792;79;79;79;1;1;1;1;0;0;none;none;none;      ;;;;No;
Leviathan;Water;3.016 E+6;120;None;0;139,447;2,505;2,324;3,956;2,410;0;0;28;0;0;Magic Stick + 20, SSS (20);none;none;Multiplier;Yes;;;No;
Meteor;Fire;2.683 E+6;120;Adventurer;60;41,662;4,491;4,166;7,091;-50;410;0;78;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;;38;No;
Robot;Neutral;2.516 E+6;120;Adventurer;60;39,252;4,231;3,925;6,681;90;90;90;168;0;0;Magic Stick + 20, SSS (20);none;none;Food;Yes;Yes;;No;
Bag;Neutral;2.461 E+6;120;Adventurer;60;38,454;4,145;3,845;6,545;90;90;90;168;0;0;Magic Stick + 20, SSS (20);none;none;Growth;Yes;Yes;;No;
BigBurger;Water;2.016 E+6;1;None;0;377;38;38;38;53;0;0;-50;0;0;none;none;none;      ;;;;No;
