Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
AncientMimic;Neutral;223,882;1;None;0;72;7;7;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Oni;Fire;223,722;1;None;0;72;7;7;7;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Leviathan;Water;151,660;1;None;0;179;3;3;3;2,053;0;0;-50;0;0;none;none;none;      ;;;;No;
BigBurger;Water;101,499;1;None;0;51;5;5;5;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Gnome;Earth;73,266;69;Adventurer;22;5,418;250;546;242;-283;29;-21;702;0;0;Godly Hammer + 20, SSS;Titanium Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Water gem lv 10;      ;Yes;;GnomeFinal;Yes;
Crocodile;Earth;71,080;1;None;0;46;5;5;5;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Salamander;Fire;67,477;102;Supporter;25;5,470;432;393;600;-79;444;29;29;0;0;Inferno Sword + 10, SSS, Wind gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;      ;Yes;;SalamanderFinal;Yes;
Meteor;Fire;58,647;20;Adventurer;20;634;63;63;63;-50;110;0;0;0;0;none;none;none;      ;Yes;;4,643;Yes;
Pandora;Neutral;58,544;20;None;0;798;113;80;80;41;41;41;41;0;0;Magic Egg + 20, SSS;none;none;      ;Yes;;;Yes;
Vampire;Fire;58,291;25;None;0;788;83;79;114;-50;125;0;50;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
Aether;Neutral;58,261;20;Adventurer;15;912;71;109;211;301;-50;262;2;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;      ;Yes;;28 fights;Yes;
Hedgehog;Fire;58,259;20;Adventurer;22;633;68;63;108;-50;110;0;78;0;0;Magic Stick + 20, SSS (20);none;none;      ;Yes;Yes;;Yes;
Raiju;Wind;58,240;20;None;0;912;71;109;211;286;-115;357;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;      ;Yes;;;Yes;
Bag;Neutral;58,228;1;Adventurer;17;44;4;4;4;1;1;1;1;0;0;none;none;none;      ;Yes;Yes;;Yes;
Cupid;Wind;57,890;57;Adventurer;21;1,777;192;178;302;0;-50;221;78;0;0;Magic Stick + 20, SSS (20);none;none;      ;Yes;Yes;;Yes;
Otter;Water;57,871;25;Adventurer;20;787;83;79;120;125;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;      ;Yes;;;Yes;
Sphinx;Earth;57,258;20;Adventurer;21;630;63;63;63;0;0;-50;110;0;0;none;none;none;      ;Yes;Yes;;Yes;
EarthEater;Earth;57,025;25;None;0;784;85;78;133;0;0;-50;203;0;0;Magic Stick + 20, SSS (20);none;none;      ;Yes;;;Yes;
Sylph;Wind;56,378;119;Mage;25;1,910;1,469;118;656;-126;107;628;30;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Hurricane Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;      ;Yes;;SylphFinal;Yes;
BunnyGirl;Neutral;55,105;20;Alchemist;15;565;69;83;72;41;41;41;41;0;0;Magic Pot + 15, S;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
HoneyBadger;Earth;54,210;25;None;0;775;81;78;112;0;0;-50;175;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
AnniCake;Earth;53,735;25;None;0;774;77;77;77;0;0;-50;125;0;0;none;none;none;      ;Yes;;;Yes;
Unicorn;Neutral;52,999;1;None;0;105;5;4;6;-103;-103;-103;627;0;0;Magic Stick + 10, SS (20);none;Growing Love Pendant + 20, SSS;      ;Yes;;;Yes;
AntQueen;Fire;49,581;1;None;0;42;4;4;6;-50;53;0;54;0;0;Magic Stick + 10, SS (20);none;none;      ;Yes;;;Yes;
Elemental;Neutral;48,325;1;None;0;42;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Shark;Water;48,287;20;Adventurer;22;608;64;61;93;110;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;      ;Yes;;;Yes;
DecoratorCrab;Water;47,310;25;None;0;754;79;75;109;125;0;0;0;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
Basilisk;Earth;46,660;1;None;0;42;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
MistSphere;Water;46,410;117;Supporter;27;4,965;529;415;631;362;78;-59;87;0;0;Inferno Sword + 10, SSS, Fire gem lv 10;Forest Armor + 10, SSS, Water gem lv 10;Alchemist Cape + 10, SSS, Wind gem lv 10;      ;Yes;;;Yes;
Succubus;Fire;42,599;88;Assassin;21;3,572;761;215;325;-49;481;20;20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;Titanium Armor + 10, SSS, Water gem lv 10;Inferno Gloves + 10, SSS, Neutral gem lv 10;      ;Yes;;;Yes;
PixieGoat;Wind;42,204;25;None;0;739;78;74;110;0;-50;125;54;0;0;Magic Stick + 10, SS (20);none;none;      ;Yes;;;Yes;
Nightmare;Fire;41,847;1;Adventurer;18;41;4;4;7;-50;53;0;78;0;0;Magic Stick + 20, SSS (20);none;none;      ;Yes;;;Yes;
FSM;Wind;41,125;20;Adventurer;15;591;63;59;90;0;-50;110;59;0;0;Magic Stick + 10, SSS (20);none;none;      ;Yes;;;Yes;
Hourglass;Wind;40,909;60;Adventurer;11;1,572;166;157;347;0;-50;230;59;0;0;Magic Stick + 10, SSS (20);none;none;      ;Yes;;237 days;Yes;
Student;Earth;40,660;1;None;0;37;4;4;4;0;0;-50;4;0;0;none;none;none;      ;;;;No;
Bottle;Fire;39,169;1;Alchemist;18;38;6;5;7;-25;78;51;51;0;0;Magic Pot + 10, S;none;Spectrometers + 20, SSS;Crafting;Yes;;;Yes;
Cherub;Wind;38,894;25;None;0;729;76;73;105;0;-50;125;50;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
Witch;Water;37,173;26;None;0;752;80;75;115;128;0;0;9;0;0;Magic Stick + 10, SSS (20);none;none;      ;Yes;;;Yes;
Void;Neutral;35,994;1;Alchemist;19;36;4;5;5;27;27;27;27;0;0;Magic Pot + 10, SSS;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Mermaid;Water;34,993;1;None;0;40;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Skeleton;Neutral;34,259;1;Adventurer;16;40;4;4;6;1;1;1;50;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
StaleTortilla;Neutral;32,067;1;Alchemist;18;36;4;6;5;30;30;30;30;0;0;Magic Pot + 15, SSS;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Rose;Earth;31,907;1;Alchemist;20;36;4;5;5;24;24;-27;77;0;0;Magic Pot + 10, A;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Owl;Neutral;31,660;1;None;0;340;34;34;34;1;1;1;1;0;0;none;none;none;      ;;;0;No;
Strategist;Neutral;31,659;1;None;0;51;3;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Yggdrasil;Earth;31,657;1;None;0;39;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Lizard;Water;31,129;1;Adventurer;5;39;4;4;6;53;0;0;4;0;0;Magic Stick + 10, SS (20);none;none;      ;Yes;;;Yes;
Gray;Neutral;30,860;1;None;0;0;0;0;0;1;1;1;1;0;0;none;none;none;      ;;;;No;
Cloud;Wind;30,511;1;Adventurer;17;39;4;4;6;0;-50;53;50;0;0;Magic Stick + 10, S (20);none;none;      ;Yes;;;Yes;
Pegasus;Wind;30,172;25;Blacksmith;22;952;125;91;30;13;15;138;13;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Santa;Fire;30,099;47;Supporter;18;1,252;155;131;170;9;172;-20;-20;0;0;Ego Sword + 10, SSS, Fire gem lv 10;none;none;Alchemist Hut, producing Nothing;Yes;;;Yes;
Balrog;Fire;29,660;1;None;0;43;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Firefox;Fire;29,411;1;Blacksmith;21;71;9;7;2;379;170;65;-377;0;0;Shaping Hammer + 20, SSS (20);Learning Coat + 20, SSS;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Monk;Neutral;29,160;1;None;0;39;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Slime;Water;29,012;106;Mage;21;1,170;531;138;446;503;0;0;-110;0;0;Journeying Stick + 10, A (20);none;Tsunami Necklace + 10, SS;      ;Yes;;;Yes;
GoldDragon;Neutral;28,969;20;Alchemist;19;507;62;71;65;40;40;40;40;0;0;Magic Pot + 10, S;none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Anteater;Earth;28,736;20;Blacksmith;20;760;100;72;24;13;65;-37;123;0;0;Shaping Hammer + 20, SSS (20);none;Ear Muffs + 20, SSS;Crafting;Yes;;;Yes;
Chocobear;Earth;28,510;20;Adventurer;20;605;59;61;81;0;0;-131;200;0;0;Magic Stick + 10, S (20);none;Wood Bracelet + 5, SSS;      ;Yes;Yes;;Yes;
Armadillo;Earth;28,189;103;Defender;25;7,930;162;925;36;69;69;19;428;0;0;Titanium Sword + 10, SSS, Water gem lv 10;Titanium Armor + 10, SSS, Earth gem lv 10;Titanium Ring + 10, SSS, Neutral gem lv 10;      ;Yes;;;Yes;
