Name;Element;Growth;Dungeon Level;Class;Class Level;HP;Attack;Defense;Speed;Water;Fire;Wind;Earth;Dark;Light;Weapon;Armor;Accessory;Action;Unlocked;Improvement;Other;Partner
AncientMimic;Neutral;223,132;1;None;0;72;7;7;7;1;1;1;1;0;0;none;none;none;      ;;;;No;
Oni;Fire;222,972;1;None;0;72;7;7;7;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Leviathan;Water;150,910;1;None;0;179;3;3;3;2,053;0;0;-50;0;0;none;none;none;      ;;;;No;
BigBurger;Water;100,749;1;None;0;51;5;5;5;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Crocodile;Earth;70,330;1;None;0;46;5;5;5;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Elemental;Neutral;47,575;1;None;0;42;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Basilisk;Earth;45,910;1;None;0;42;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Vampire;Fire;44,095;25;None;0;1,074;84;129;249;236;60;247;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;Yes;
Salamander;Fire;41,800;25;None;0;737;75;74;81;-50;125;0;11;0;0;Walking Stick + 5, B (20);none;none;Food;Yes;;SalamanderV3;Yes;
HoneyBadger;Earth;40,014;25;None;0;732;75;73;88;0;0;-50;148;0;0;Journeying Stick + 5, B (20);none;none;Food;Yes;;;No;
Student;Earth;39,910;1;None;0;37;4;4;4;0;0;-50;4;0;0;none;none;none;      ;;;;No;
AnniCake;Earth;39,539;25;None;0;731;75;73;91;0;0;-50;153;0;0;Journeying Stick + 5, S (20);none;none;Food;Yes;;;Yes;
AntQueen;Fire;38,560;1;None;0;41;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Sylph;Wind;37,308;32;None;0;1,088;170;94;103;-131;64;29;78;0;0;Flame Sword + 10, S;Tree Armor + 10, SSS;Flame Gloves + 5, SSS;Forest;Yes;;SylphFinal;Yes;
Gnome;Earth;35,732;25;None;0;719;72;137;91;-312;0;-50;541;0;0;Godly Hammer + 20, SSS;none;none;Item;Yes;;GnomeV3;No;
Mermaid;Water;34,243;1;None;0;40;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
DecoratorCrab;Water;33,114;25;None;0;711;73;71;89;125;0;0;-23;0;0;Journeying Stick + 5, S (20);none;none;Item;Yes;;;Yes;
Pandora;Neutral;31,505;20;None;0;715;101;71;71;41;41;41;41;0;0;Magic Egg + 20, SSS;none;none;Growth;Yes;;;Yes;
Owl;Neutral;30,910;1;None;0;340;34;34;34;1;1;1;1;0;0;none;none;none;      ;;;0;No;
Strategist;Neutral;30,909;1;None;0;51;3;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Yggdrasil;Earth;30,907;1;None;0;39;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Gray;Neutral;30,110;1;None;0;0;0;0;0;1;1;1;1;0;0;none;none;none;      ;;;;No;
Balrog;Fire;28,910;1;None;0;43;4;4;4;-50;53;0;0;0;0;none;none;none;      ;;;;No;
Monk;Neutral;28,410;1;None;0;39;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
PixieGoat;Wind;28,008;25;None;0;695;71;70;85;0;-50;125;25;0;0;Journeying Stick + 5, A (20);none;none;Item;Yes;;;Yes;
Raiju;Wind;25,490;20;None;0;797;62;95;185;286;-115;357;-13;0;0;Candy Cane + 20, SSS;Merry Mantle + 20, SSS;Christmas Boots + 20, SSS;Growth;Yes;;;No;
BunnyGirl;Neutral;24,917;20;None;0;551;57;55;71;15;15;15;46;0;0;Journeying Stick + 6, SS (20);none;none;Growth;Yes;;;Yes;
Cherub;Wind;24,702;25;None;0;685;70;69;82;0;-50;125;23;0;0;Journeying Stick + 5, B (20);none;none;Item;Yes;;;Yes;
Bat;Neutral;24,241;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
LuckyCoin;Earth;24,241;1;None;0;38;4;4;4;0;0;-50;53;0;0;none;none;none;      ;;;;No;
Hourglass;Wind;23,697;46;None;0;1,121;112;112;162;0;-50;188;0;0;0;none;none;none;Forest;Yes;;151 days;Yes;
Sniper;Wind;23,410;1;None;0;34;5;3;3;0;-50;53;0;0;0;none;none;none;      ;;;;No;
Arachne;Wind;23,132;1;None;0;38;4;4;4;0;-50;53;0;0;0;none;none;none;      ;;;;No;
Mimic;Neutral;23,132;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Witch;Water;23,050;25;None;0;680;70;68;86;125;0;0;-20;0;0;Journeying Stick + 5, SS (20);none;none;Food;Yes;;;Yes;
Simulacrum;Wind;22,979;1;None;0;38;4;4;4;0;-50;53;0;0;0;none;none;none;      ;;;;No;
Otter;Water;22,165;25;None;0;678;70;68;87;125;0;0;-19;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;;;Yes;
Fool;Neutral;21,931;1;None;0;38;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
Hedgehog;Fire;21,741;20;Adventurer;13;543;56;54;69;-50;110;0;31;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;Yes;;Yes;
EarthEater;Earth;21,689;25;None;0;676;70;68;85;0;0;-50;154;0;0;Journeying Stick + 6, S (20);none;none;Growth;Yes;;;No;
Sphinx;Earth;21,404;20;Adventurer;10;542;56;54;70;0;0;-50;143;0;0;Journeying Stick + 5, SSS (20);none;none;Growth;Yes;Yes;;Yes;
Shark;Water;21,358;20;Adventurer;13;542;56;54;69;110;0;0;-19;0;0;Journeying Stick + 8, S (20);none;none;Growth;Yes;;;Yes;
MistSphere;Water;21,384;25;None;0;1,641;68;68;68;21;-104;-104;522;0;0;none;none;Growing Love Pendant + 20, SSS;Multiplier;Yes;;;No;
Meteor;Fire;21,304;20;None;0;542;56;54;68;-50;110;0;29;0;0;Journeying Stick + 6, S (20);none;none;Growth;Yes;;2,606;Yes;
FSM;Wind;20,917;20;None;0;541;55;54;64;0;-50;110;20;0;0;Journeying Stick + 2, B (20);none;none;Multiplier;Yes;;;Yes;
BHC;Neutral;20,908;1;None;0;38;4;4;4;51;51;51;51;0;0;none;none;none;      ;;;;No;
Pegasus;Wind;16,114;25;Blacksmith;8;868;78;84;27;10;-40;135;10;0;0;none;none;Ear Muffs + 10, SSS;Crafting;Yes;;;Yes;
Santa;Fire;16,059;33;Supporter;8;946;109;87;102;-165;246;0;0;0;0;Flame Sword + 10, SS;Steel Armor + 10, SS;Flame Gloves + 2, S;Scrapyard;Yes;;;Yes;
FlyingEyeball;Wind;15,911;1;None;0;37;4;4;4;0;-50;53;0;0;0;none;none;none;      ;;;;No;
FaintingCapra;Water;15,910;1;None;0;37;4;4;4;53;0;0;-50;0;0;none;none;none;      ;;;;No;
Archer;Neutral;15,610;1;None;0;37;4;4;4;1;1;1;1;0;0;none;none;none;      ;;;;No;
